                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.98288,                0.67946,                 1.1406,                 0.7068,                0.87879,                0.81462,                0.42042,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.96866,                0.66633,                 1.1166,                 0.8566,                0.90909,                0.84502,                0.43841,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.95391,                 0.6265,                 1.1015,                0.82855,                0.87865,                0.85076,                0.42585,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.95673,                0.63314,                 1.1206,                0.90233,                0.90909,                0.90143,                0.43813,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.95962,                0.63457,                 1.1148,                0.89927,                0.84848,                0.87609,                0.38934,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.92671,                0.61875,                  1.104,                0.85986,                0.92987,                0.88301,                0.42119,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.93981,                0.60909,                 1.0944,                0.88396,                 0.9697,                0.92334,                0.45582,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.89893,                0.59327,                 1.0707,                0.82037,                0.87879,                0.84952,                 0.4657,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.88072,                0.59837,                 1.0581,                0.90858,                0.87879,                0.91885,                0.46287,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.90198,                 0.5882,                 1.0833,                0.89683,                0.81818,                0.81226,                0.42191,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.89454,                0.59275,                 1.0724,                0.90545,                0.87879,                0.87758,                0.42612,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 0.8509,                0.57231,                 1.0506,                0.93333,                0.84845,                0.88905,                0.46712,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.83361,                0.56271,                 1.0379,                0.87675,                0.90909,                0.93956,                0.45755,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.83399,                0.57194,                 1.0356,                0.91146,                0.93594,                0.95244,                0.44134,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.79711,                0.56275,                 1.0233,                0.89972,                 0.8157,                0.84331,                0.42396,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.83514,                0.55869,                 1.0648,                0.92496,                0.84848,                0.90125,                0.44128,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.84298,                0.54749,                 1.0657,                0.91225,                0.84848,                0.83949,                0.41934,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 0.7841,                0.53494,                 1.0304,                0.93279,                0.84134,                0.86325,                0.44836,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.80637,                 0.5513,                 1.0298,                0.86998,                0.84848,                0.86836,                0.42687,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.76236,                0.50126,                 1.0123,                0.85095,                0.90909,                0.89593,                 0.4219,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.76483,                0.51948,                 1.0182,                0.89762,                0.78788,                0.86104,                0.39296,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.75077,                 0.5151,                 1.0068,                0.85647,                 0.9697,                0.92757,                0.48361,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.79692,                0.53759,                 1.0345,                 0.9087,                0.90491,                0.89551,                 0.4185,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.73375,                0.49924,                0.99838,                0.89629,                0.84848,                0.92433,                0.46239,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                  0.736,                0.51483,                0.99955,                0.90592,                0.87551,                0.85128,                0.42265,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.76289,                0.51733,                 1.0228,                0.84336,                0.81585,                0.81989,                0.43259,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.73317,                0.50587,                 1.0125,                0.85648,                0.90432,                0.86616,                0.42812,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.73993,                0.51004,                 1.0055,                0.89742,                0.87879,                0.86449,                0.41329,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.70727,                0.47831,                0.97374,                0.93712,                0.90331,                0.89326,                0.41405,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.72062,                0.49055,                0.99972,                0.91802,                0.87879,                0.90239,                0.44226,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.71537,                0.48315,                0.98117,                0.90215,                0.87879,                0.90987,                0.44792,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.68103,                0.46865,                0.98339,                0.82601,                0.87879,                0.87598,                0.46074,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.67296,                0.46521,                0.97082,                  0.931,                0.87879,                0.90433,                0.45085,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 0.6888,                0.47586,                 0.9784,                0.91359,                0.96135,                0.94392,                 0.4688,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 0.6621,                0.45143,                0.96966,                0.88349,                0.93939,                0.92223,                0.42817,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.65951,                0.46109,                0.96194,                0.88568,                0.93912,                0.93466,                0.47427,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.62975,                0.44399,                0.96135,                0.93508,                0.90909,                0.93014,                0.45389,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 0.6489,                0.46167,                0.96907,                0.90881,                 0.9061,                0.89484,                0.43935,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
